month,store,product,units,unit_price,revenue,gross_margin_pct
2025-10,台北信義,單品手沖,361,180,64980,63.7
2025-10,台北信義,拿鐵,384,140,53760,66.8
2025-10,台北信義,冷萃,243,160,38880,70.1
2025-10,台北信義,咖啡豆 250g,387,420,162540,46
2025-10,台北信義,訂閱方案,67,599,40133,55.2
2025-10,台中勤美,單品手沖,333,180,59940,62.5
2025-10,台中勤美,拿鐵,341,140,47740,67
2025-10,台中勤美,冷萃,181,160,28960,70.8
2025-10,台中勤美,咖啡豆 250g,333,420,139860,43.2
2025-10,台中勤美,訂閱方案,53,599,31747,54.9
2025-10,高雄駁二,單品手沖,296,180,53280,63.2
2025-10,高雄駁二,拿鐵,252,140,35280,68.1
2025-10,高雄駁二,冷萃,171,160,27360,70.8
2025-10,高雄駁二,咖啡豆 250g,280,420,117600,45.3
2025-10,高雄駁二,訂閱方案,47,599,28153,56.6
2025-10,線上訂閱,咖啡豆 250g,350,420,147000,44.3
2025-10,線上訂閱,訂閱方案,121,599,72479,54.3
2025-11,台北信義,單品手沖,413,180,74340,61.2
2025-11,台北信義,拿鐵,438,140,61320,67.2
2025-11,台北信義,冷萃,280,160,44800,70.2
2025-11,台北信義,咖啡豆 250g,464,420,194880,46.5
2025-11,台北信義,訂閱方案,79,599,47321,54.1
2025-11,台中勤美,單品手沖,360,180,64800,62
2025-11,台中勤美,拿鐵,350,140,49000,66.8
2025-11,台中勤美,冷萃,223,160,35680,68.2
2025-11,台中勤美,咖啡豆 250g,346,420,145320,44.4
2025-11,台中勤美,訂閱方案,71,599,42529,56.7
2025-11,高雄駁二,單品手沖,303,180,54540,60.7
2025-11,高雄駁二,拿鐵,296,140,41440,67.1
2025-11,高雄駁二,冷萃,170,160,27200,69.7
2025-11,高雄駁二,咖啡豆 250g,292,420,122640,45.1
2025-11,高雄駁二,訂閱方案,60,599,35940,53.9
2025-11,線上訂閱,咖啡豆 250g,430,420,180600,44.8
2025-11,線上訂閱,訂閱方案,166,599,99434,55.5
2025-12,台北信義,單品手沖,512,180,92160,62.1
2025-12,台北信義,拿鐵,499,140,69860,68.8
2025-12,台北信義,冷萃,314,160,50240,69.6
2025-12,台北信義,咖啡豆 250g,520,420,218400,44
2025-12,台北信義,訂閱方案,118,599,70682,54.4
2025-12,台中勤美,單品手沖,385,180,69300,61.6
2025-12,台中勤美,拿鐵,423,140,59220,69.5
2025-12,台中勤美,冷萃,213,160,34080,71.3
2025-12,台中勤美,咖啡豆 250g,365,420,153300,44.6
2025-12,台中勤美,訂閱方案,86,599,51514,53.3
2025-12,高雄駁二,單品手沖,373,180,67140,60.9
2025-12,高雄駁二,拿鐵,348,140,48720,66.6
2025-12,高雄駁二,冷萃,195,160,31200,70.4
2025-12,高雄駁二,咖啡豆 250g,315,420,132300,46.7
2025-12,高雄駁二,訂閱方案,85,599,50915,56.6
2025-12,線上訂閱,咖啡豆 250g,481,420,202020,46.6
2025-12,線上訂閱,訂閱方案,218,599,130582,54.1
2026-01,台北信義,單品手沖,499,180,89820,61
2026-01,台北信義,拿鐵,506,140,70840,66
2026-01,台北信義,冷萃,328,160,52480,68.9
2026-01,台北信義,咖啡豆 250g,580,420,243600,45
2026-01,台北信義,訂閱方案,154,599,92246,54
2026-01,台中勤美,單品手沖,477,180,85860,60.9
2026-01,台中勤美,拿鐵,432,140,60480,69.6
2026-01,台中勤美,冷萃,237,160,37920,70
2026-01,台中勤美,咖啡豆 250g,399,420,167580,46.7
2026-01,台中勤美,訂閱方案,122,599,73078,56.7
2026-01,高雄駁二,單品手沖,340,180,61200,63.6
2026-01,高雄駁二,拿鐵,353,140,49420,69.9
2026-01,高雄駁二,冷萃,221,160,35360,70.7
2026-01,高雄駁二,咖啡豆 250g,359,420,150780,43.9
2026-01,高雄駁二,訂閱方案,95,599,56905,55.3
2026-01,線上訂閱,咖啡豆 250g,451,420,189420,46.1
2026-01,線上訂閱,訂閱方案,277,599,165923,55.9
2026-02,台北信義,單品手沖,596,180,107280,60.1
2026-02,台北信義,拿鐵,550,140,77000,69.7
2026-02,台北信義,冷萃,320,160,51200,70.8
2026-02,台北信義,咖啡豆 250g,643,420,270060,43.1
2026-02,台北信義,訂閱方案,196,599,117404,56.4
2026-02,台中勤美,單品手沖,524,180,94320,63.8
2026-02,台中勤美,拿鐵,503,140,70420,67.7
2026-02,台中勤美,冷萃,262,160,41920,70.9
2026-02,台中勤美,咖啡豆 250g,514,420,215880,44.6
2026-02,台中勤美,訂閱方案,138,599,82662,54.6
2026-02,高雄駁二,單品手沖,437,180,78660,62.2
2026-02,高雄駁二,拿鐵,394,140,55160,68.5
2026-02,高雄駁二,冷萃,246,160,39360,69.3
2026-02,高雄駁二,咖啡豆 250g,424,420,178080,44.7
2026-02,高雄駁二,訂閱方案,116,599,69484,54.2
2026-02,線上訂閱,咖啡豆 250g,586,420,246120,47
2026-02,線上訂閱,訂閱方案,335,599,200665,56.5
2026-03,台北信義,單品手沖,672,180,120960,60.8
2026-03,台北信義,拿鐵,638,140,89320,66.5
2026-03,台北信義,冷萃,359,160,57440,70.2
2026-03,台北信義,咖啡豆 250g,654,420,274680,46.8
2026-03,台北信義,訂閱方案,211,599,126389,53.7
2026-03,台中勤美,單品手沖,491,180,88380,60.7
2026-03,台中勤美,拿鐵,512,140,71680,68.1
